Model,Top-1,Top-3,Top-10
CatBoost,0.7471967380224261,0.9694189602446484,0.9989806320081549
RandomForest,0.7522935779816514,0.9683995922528033,0.9979612640163099
GradientBoosting,0.7288481141692151,0.9480122324159022,1.0
KNN,0.7268093781855249,0.9571865443425076,0.9938837920489296
SoftVoting,0.7482161060142711,0.9683995922528033,1.0
