iter	Accuracy	MultiClass
269	0.8797118901	0.4395734749
270	0.8803785198	0.4383967737
271	0.8800829802	0.4375639006
272	0.8802653288	0.4361745357
273	0.8804476775	0.4349430399
274	0.8815591816	0.4337110454
275	0.882942736	0.4323434571
276	0.8831250847	0.4312233586
277	0.8831250847	0.4301973757
278	0.8831250847	0.4292501733
279	0.8833074333	0.4278682586
280	0.8842136167	0.4265278109
281	0.884291064	0.4255352226
282	0.8844459587	0.4240606209
283	0.8855752771	0.4229173502
284	0.8863645351	0.4217132558
285	0.8854950127	0.4208856701
286	0.8864419824	0.4196439032
287	0.886603787	0.4184933701
288	0.8864488923	0.4172176256
289	0.8872135134	0.4158188852
290	0.8875507567	0.4146577137
291	0.8875507567	0.4137672583
292	0.8875507567	0.4128510251
293	0.8882801513	0.4115416033
294	0.8883575986	0.410538978
295	0.8889100327	0.4096024713
296	0.889244664	0.4081969094
297	0.8898842724	0.4069542835
298	0.8899974633	0.4060393704
299	0.890687065	0.405076233
300	0.890636639	0.4044985778
301	0.8906636603	0.4036046125
302	0.8911709134	0.4026786869
303	0.8916551944	0.402181651
304	0.892485441	0.4008876293
305	0.8930648964	0.3994217067
306	0.8935574671	0.3981864257
307	0.8934255444	0.3969924193
308	0.8934255444	0.3963838521
309	0.8934255444	0.3958920616
310	0.8940921741	0.3946801944
311	0.8936770508	0.3936586368
312	0.8938593994	0.392915567
313	0.8940921741	0.3919126569
314	0.8954935865	0.391124866
315	0.8954431604	0.3896171524
316	0.8954431604	0.3886094675
317	0.8955206078	0.387728561
318	0.8955206078	0.3866549338
319	0.8955206078	0.3855614506
320	0.8963655368	0.3842578105
321	0.8963655368	0.3832043635
322	0.8965983115	0.382180571
323	0.8970134348	0.3813685423
324	0.8976613328	0.3802144346
325	0.8976613328	0.3792063582
326	0.8978436814	0.3780709615
327	0.8982298402	0.3769720174
328	0.8985400622	0.3756690537
329	0.8992149815	0.3744223046
330	0.9004408243	0.3733066379
331	0.9015440387	0.3725121406
332	0.901881282	0.3717691425
333	0.900742324	0.3707774044
334	0.9014323583	0.3696841076
335	0.9025942884	0.3684023301
336	0.9029589857	0.3677460488
337	0.9028036584	0.3665038401
338	0.9042798598	0.3656495604
339	0.9045396557	0.3646547486
340	0.9050867017	0.364152303
341	0.9038977503	0.3629549034
342	0.9046990323	0.3622921316
343	0.9056826631	0.36161961
344	0.9059154377	0.3606919916
345	0.9052337394	0.3597701244
346	0.905675884	0.3587117
347	0.9069193107	0.3577172169
348	0.9069193107	0.3574087199
349	0.9071016593	0.3569567063
350	0.9080578361	0.3561772858
351	0.9080578361	0.3554110169
352	0.9078333511	0.3544656545
353	0.9082906108	0.3539251921
354	0.9077559037	0.3534807314
355	0.9084128064	0.3525395977
356	0.9080481091	0.3519003252
357	0.9086906448	0.3513801324
358	0.9078529041	0.3509173684
359	0.9089504408	0.3500019454
360	0.9096404752	0.3490406891
361	0.9098040922	0.3483361672
362	0.9099864408	0.3473727995
363	0.9104285855	0.3462533955
364	0.9108437088	0.3454891948
365	0.9101687895	0.3450695836
366	0.9112230885	0.3439221706
367	0.9112735145	0.3431999758
368	0.9120627725	0.3422114085
369	0.9126666372	0.3415133898
370	0.9125617359	0.3407979293
371	0.9125617359	0.3403235915
372	0.9129768592	0.3397600083
373	0.9142106054	0.3389784393
374	0.914195923	0.3381878596
375	0.9147429689	0.3372770429
376	0.916028532	0.3365325286
377	0.9170922684	0.335604096
378	0.9163394691	0.3348893978
379	0.9170117764	0.3342046277
380	0.9177465591	0.3331860118
381	0.9183944571	0.3324431888
382	0.9190788138	0.3316160752
383	0.9191562611	0.3310211714
384	0.9196488318	0.3299380954
385	0.9205252641	0.3290549812
386	0.9211457081	0.3283483448
387	0.9210408068	0.3277742619
388	0.9216093142	0.3271091598
389	0.9220935952	0.3261874923
390	0.9218420888	0.3257546162
391	0.9226433709	0.3253923562
392	0.9231780779	0.3244679142
393	0.9237715006	0.3238466788
394	0.9234695683	0.32315294
395	0.9236519169	0.322365611
396	0.9239538493	0.3216050738
397	0.9240940616	0.3213130803
398	0.9242410993	0.3206298297
399	0.9245783426	0.3199948007
400	0.9251483606	0.3189429811
401	0.9260830758	0.3180137341
402	0.9260830758	0.3173842631
403	0.9263158505	0.3168556628
404	0.9264624555	0.3163298394
405	0.9266952302	0.3158655333
406	0.9266448042	0.3153310428
407	0.9270599275	0.3145813469
408	0.9273618599	0.3142090331
409	0.9276637922	0.313575043
410	0.9276637922	0.3134912876
411	0.9276637922	0.3130692994
412	0.9276637922	0.312697567
413	0.9274663749	0.3119182592
414	0.9283970409	0.3109901108
415	0.9283887513	0.3106872743
416	0.929344928	0.3099358173
417	0.9295777027	0.309304659
418	0.9297243077	0.3085785866
419	0.9299066564	0.308307839
420	0.9301570408	0.3077043765
421	0.9301570408	0.3071903626
422	0.9301624031	0.3065246665
423	0.9299570824	0.3058653547
424	0.9299570824	0.3052539781
425	0.9310741722	0.3046858742
426	0.9309545884	0.3039291278
427	0.9317941552	0.3035127784
428	0.9314922228	0.3028938991
429	0.9325195005	0.3022800166
430	0.9329767602	0.3017325307
431	0.9334189049	0.3009070708
432	0.9329767602	0.300530335
433	0.9330120712	0.3000081866
434	0.9328774188	0.2992794675
435	0.9336787008	0.2987245023
436	0.9338340282	0.2983437506
437	0.9344961759	0.2976977734
438	0.9346785246	0.2972850458
439	0.9346785246	0.2963316605
440	0.9354907546	0.295593735
441	0.9364239593	0.2948337036
442	0.9360445796	0.2942704727
443	0.9360445796	0.2937387041
444	0.9363548016	0.2932121947
445	0.9355873199	0.2923739499
446	0.9357069036	0.291547276
447	0.9357069036	0.2915124751
448	0.9362416106	0.2910123298
449	0.9362416106	0.290534818
450	0.9362416106	0.2900711366
451	0.9364743853	0.2899309528
452	0.9364743853	0.2895303449
453	0.936656734	0.2889797608
454	0.936656734	0.2889398893
455	0.9370214313	0.2882945395
456	0.9370214313	0.2882200479
457	0.9370214313	0.288151097
458	0.937304632	0.2876026159
459	0.9379021039	0.2868404005
460	0.9379795513	0.2866395551
461	0.9379795513	0.2861681456
462	0.9377972026	0.285628361
463	0.9377972026	0.285242596
464	0.9377972026	0.2848240281
465	0.9380804033	0.2846180435
466	0.9380804033	0.2842937645
467	0.9380804033	0.284241811
468	0.9381578506	0.2840473486
469	0.9381578506	0.283592391
470	0.9380299773	0.2830326723
471	0.938262752	0.2823418508
472	0.9384955266	0.2818628486
473	0.9384955266	0.2815134092
474	0.9386504213	0.2812949392
475	0.9386504213	0.280603321
476	0.9387278686	0.2801589496
477	0.9387278686	0.2799602389
478	0.938805316	0.2793350105
479	0.9389876646	0.2791297856
480	0.9391700133	0.2786025139
481	0.9391700133	0.2780694869
482	0.9395576826	0.2774771799
483	0.9398949259	0.2768687865
484	0.9401277006	0.2763924389
485	0.9398949259	0.276065374
486	0.9403604753	0.2755364904
487	0.9405428239	0.2749631056
488	0.9405428239	0.2743978201
489	0.9407251726	0.2742710341
490	0.9411320062	0.2737258474
491	0.9412094536	0.2731298041
492	0.9410541262	0.2725493855
493	0.9412869009	0.2721199285
494	0.9415196756	0.2715390764
495	0.9421588513	0.271005736
496	0.9423411999	0.2703421979
497	0.9425739746	0.2697596213
498	0.9427563232	0.2693949399
499	0.9427837772	0.2687930861
500	0.9425005765	0.2683422085
501	0.9425005765	0.2679790008
502	0.9429661258	0.2675102716
503	0.9437061536	0.267142856
504	0.9435238049	0.2669542128
505	0.9432406042	0.2665488081
506	0.9436282736	0.266147181
507	0.9439659496	0.2655737553
508	0.9435778476	0.2652169062
509	0.9441478655	0.2645199139
510	0.9448378999	0.2639660782
511	0.9447604526	0.2635917415
512	0.9446555513	0.2631096966
513	0.9451481219	0.2624843765
514	0.9453808966	0.2619039914
515	0.9459513473	0.2614512974
516	0.9458734673	0.260890131
517	0.9460558159	0.2604430669
518	0.9459783686	0.2598688977
519	0.9462885906	0.2594569101
520	0.9462885906	0.2593418329
521	0.9462885906	0.259213866
522	0.9463660379	0.2587442225
523	0.947210967	0.2581093604
524	0.9473662943	0.2575459693
525	0.9474437416	0.2575277919
526	0.9477539636	0.2573910188
527	0.9477035376	0.2571443291
528	0.9481186609	0.2567196456
529	0.9479637663	0.2562301919
530	0.9480829173	0.2555950808
531	0.9483074023	0.2551089402
532	0.9481103713	0.2546170624
533	0.9481103713	0.2542366925
534	0.9484980406	0.2539175773
535	0.9484980406	0.2535647841
536	0.9489823216	0.2529768911
537	0.949059769	0.2526402229
538	0.9492925436	0.2520697743
539	0.9495253183	0.251475079
540	0.9497576603	0.250975229
541	0.9498351077	0.2508699952
542	0.9500678823	0.2508227885
543	0.9505334317	0.2504337724
544	0.9504830056	0.2499579532
545	0.9505104596	0.2493864605
546	0.9505104596	0.2493388014
547	0.9508711077	0.2488402866
548	0.9508711077	0.2486216703
549	0.9508711077	0.2482345988
550	0.9508711077	0.2478707907
551	0.9511038823	0.2473587713
552	0.950948555	0.2469452298
553	0.9511813297	0.2466579426
554	0.9511813297	0.2461398894
555	0.9511813297	0.2458339856
556	0.9517513477	0.2454192339
557	0.9517513477	0.2450399482
558	0.951828795	0.2444143943
559	0.951828795	0.2437173273
560	0.951568999	0.2434311406
561	0.9513362243	0.2432557404
562	0.951518573	0.2428326922
563	0.951518573	0.2423930725
564	0.951491119	0.2421080727
565	0.951801341	0.2415714242
566	0.9517238937	0.2410678339
567	0.951828795	0.2406161056
568	0.952216897	0.2400539202
569	0.9522943443	0.239828784
570	0.952476693	0.239597141
571	0.9522943443	0.2390294215
572	0.953046711	0.238522329
573	0.9529692636	0.2381607712
574	0.953271196	0.2379857545
575	0.9537133406	0.2377456216
576	0.9537133406	0.2374187965
577	0.9539134163	0.2371223208
578	0.9537133406	0.2366957125
579	0.9546996297	0.2361650866
580	0.9546996297	0.2358389987
581	0.9546996297	0.2355118951
582	0.9546221823	0.2351688724
583	0.9541379013	0.2348849127
584	0.9546221823	0.2343935826
585	0.9546221823	0.2339654812
586	0.9551568894	0.233548938
587	0.9554671114	0.23310245
588	0.9554671114	0.2330878839
589	0.9554671114	0.232750777
590	0.9554671114	0.2327255062
591	0.9560101081	0.2322747267
592	0.9560875554	0.2318880078
593	0.9556994534	0.231514576
594	0.9556220061	0.2314165328
595	0.9560096754	0.2308528591
596	0.9557769007	0.2304698107
597	0.9560096754	0.2300210021
598	0.9566575734	0.2295242131
599	0.9566575734	0.2291402126
600	0.9570873791	0.2286312402
601	0.9568546044	0.2285627132
602	0.9566218298	0.2282053622
603	0.9570099318	0.2279981846
604	0.9571922804	0.2274147976
605	0.9574250551	0.2270356792
606	0.9571231227	0.2265011465
607	0.9571295155	0.2260426027
608	0.9578044348	0.2254757854
609	0.9575716601	0.2250240522
610	0.9578044348	0.2246608188
611	0.9579867834	0.2244587128
612	0.9581691321	0.2239085503
613	0.9581691321	0.223687762
614	0.9581691321	0.2234493043
615	0.9584289281	0.2230802798
616	0.9584793541	0.2225375137
617	0.9582970055	0.2221966176
618	0.9584793541	0.2217890548
619	0.9587121288	0.2213934576
620	0.9587121288	0.2211714355
621	0.9593242831	0.2207410138
622	0.9595066318	0.2204604238
623	0.9600770825	0.2200298186
624	0.9599217551	0.2197720832
625	0.9599217551	0.2196929679
626	0.9599217551	0.2193160774
627	0.9599217551	0.2190313983
628	0.9596889804	0.2186422758
629	0.9599217551	0.2182230268
630	0.9602236875	0.2179167132
631	0.9606061118	0.2175901447
632	0.9611408188	0.2170474521
633	0.9608031428	0.216677714
634	0.9613378499	0.2163324762
635	0.9612182662	0.2159971765
636	0.9618304205	0.2156199042
637	0.9615284882	0.2151718625
638	0.9617529732	0.2148274606
639	0.9619857479	0.2144836407
640	0.9618808466	0.2142709773
641	0.9619857479	0.2141180813
642	0.9619083005	0.2138183146
643	0.9621053316	0.213394599
644	0.9621827789	0.2131792458
645	0.9621827789	0.2131304613
646	0.9623651276	0.212718122
647	0.9624425749	0.2124851203
648	0.9623651276	0.2121238167
649	0.9626753496	0.211754242
650	0.9630999103	0.211514155
651	0.9631773576	0.2111198748
652	0.9631773576	0.2107599527
653	0.9628754253	0.2103476988
654	0.9628754253	0.2099872163
655	0.9628754253	0.2096861676
656	0.9633597063	0.2093679785
657	0.9633597063	0.2090572618
658	0.9633597063	0.2087240246
659	0.9633597063	0.2083592674
660	0.9633597063	0.2079746424
661	0.9633597063	0.2075173678
662	0.9634371536	0.2071934338
663	0.9638165333	0.206855714
664	0.9642316566	0.2065028083
665	0.964049308	0.2062277461
666	0.964049308	0.2059234976
667	0.964099734	0.205594391
668	0.964099734	0.2054456837
669	0.9643325087	0.2051683934
670	0.963839938	0.2048605937
671	0.963839938	0.2048537262
672	0.9643746451	0.2046083269
673	0.9641771813	0.2042533502
674	0.964584015	0.204144253
675	0.9648859474	0.2038090412
676	0.9648859474	0.2035820618
677	0.9648859474	0.2034427641
678	0.965068296	0.2031329212
679	0.965068296	0.2027307134
680	0.96501787	0.2022812904
681	0.9655104407	0.2019392784
682	0.965378518	0.2016464507
683	0.9651961694	0.2012920645
684	0.9651457434	0.2009624385
685	0.965925564	0.2006172708
686	0.9657432153	0.2003087619
687	0.9655608667	0.200031251
688	0.9655608667	0.1997782314
689	0.9655608667	0.1994649614
690	0.9658710887	0.1991476887
691	0.9660534373	0.1988167135
692	0.9660534373	0.198522106
693	0.9663636593	0.1983110346
694	0.9668479404	0.1980432541
695	0.966770493	0.1977153432
696	0.966770493	0.1974864867
697	0.9664685607	0.1971824063
698	0.966286212	0.1970392532
699	0.9668479404	0.1967743666
700	0.9668479404	0.1963730563
701	0.9669253877	0.196342305
702	0.9669253877	0.1958671835
703	0.9669253877	0.1955817454
704	0.9669253877	0.1955534514
705	0.9669253877	0.1953487878
706	0.9669253877	0.1950804588
707	0.967002835	0.1948478158
708	0.967002835	0.1945325001
709	0.9670802824	0.194333891
710	0.9668475077	0.1940242862
711	0.9668475077	0.1937568592
712	0.9665455753	0.1937110933
713	0.9665455753	0.1935086965
714	0.9668475077	0.1931311593
715	0.9668475077	0.1928812896
716	0.9668475077	0.1928657046
717	0.9668475077	0.1925827222
718	0.9668475077	0.1922767903
719	0.9670802824	0.1921685192
720	0.9670802824	0.1916681648
721	0.9670802824	0.1914161105
722	0.9671577297	0.1910106497
723	0.9673400783	0.1907770234
724	0.967262631	0.1905184838
725	0.9674175257	0.1901034973
726	0.9674175257	0.1898246636
727	0.9674175257	0.189607137
728	0.9674175257	0.1893533087
729	0.967719458	0.1892380967
730	0.967719458	0.1892050574
731	0.9677969054	0.1888551267
732	0.9677969054	0.1886235023
733	0.9682989134	0.1882727622
734	0.9682989134	0.1880821084
735	0.9687140367	0.1878274965
736	0.9682120287	0.1874833526
737	0.9684812621	0.1872288684
738	0.9684812621	0.1871016781
739	0.9684812621	0.1870787676
740	0.9684812621	0.1870174255
741	0.9686365894	0.1867364461
742	0.9688693641	0.1863103339
743	0.9691795861	0.1859567951
744	0.9691795861	0.185752494
745	0.9694123607	0.1855561335
746	0.9694123607	0.1855186964
747	0.9697225828	0.1852860203
748	0.9697225828	0.1852682839
749	0.9697225828	0.1850899022
750	0.9697225828	0.1847926811
751	0.9696451354	0.1845552632
752	0.9696451354	0.1844749229
753	0.9696451354	0.1842764947
754	0.9696451354	0.1840690473
755	0.9696451354	0.1838889568
756	0.9704126171	0.1835819084
757	0.9701798425	0.18330602
758	0.9704126171	0.1830943132
759	0.9708781665	0.1828255825
760	0.9708781665	0.1825039546
761	0.9708781665	0.1824705814
762	0.9708781665	0.1823525269
763	0.9708781665	0.1820106895
764	0.9708781665	0.1819391312
765	0.9708781665	0.181934361
766	0.9711109412	0.1816691147
767	0.9708781665	0.1814772034
768	0.9711109412	0.1813608935
769	0.9711883885	0.180962198
770	0.9711883885	0.1806657793
771	0.9711883885	0.1804122119
772	0.9709556138	0.1801752688
773	0.9711883885	0.1798017082
774	0.9711883885	0.179386449
775	0.9709556138	0.1791974333
776	0.9705762341	0.1788912736
777	0.9706536814	0.1785916684
778	0.9708090088	0.1783960664
779	0.9710417835	0.1780157073
780	0.9708090088	0.177895634
781	0.9708090088	0.1778825195
782	0.9708090088	0.1778738388
783	0.9708864561	0.1778628379
784	0.9710417835	0.1775292169
785	0.9710417835	0.1773060983
786	0.9710417835	0.1770972101
787	0.9716539378	0.1768600103
788	0.9716539378	0.1768520623
789	0.9714211632	0.1767324429
790	0.9716035118	0.1765984764
791	0.9716035118	0.1765928795
792	0.9716035118	0.1763374558
793	0.9716035118	0.176263025
794	0.9716035118	0.1759312606
795	0.9718362865	0.1756263276
796	0.9720186351	0.1753282999
797	0.9718362865	0.1750311611
798	0.9718362865	0.1749828135
799	0.9720186351	0.174645711
800	0.9720186351	0.1744239295
801	0.9720186351	0.1742731491
802	0.9720960825	0.1740582684
803	0.9721735298	0.1739438948
804	0.9721735298	0.1738803899
805	0.9721735298	0.1735631422
806	0.9719407551	0.1732963184
807	0.9721735298	0.1731089801
808	0.9725886531	0.1729425309
809	0.9725112058	0.1726301316
810	0.9725112058	0.1722436108
811	0.9725112058	0.1720905662
812	0.9726661004	0.1719255379
813	0.9726661004	0.1716630787
814	0.9724333258	0.1713702076
815	0.9724333258	0.1713538441
816	0.9728988751	0.1710735192
817	0.9728297174	0.170770007
818	0.9728297174	0.1705077065
819	0.9731316498	0.1702211296
820	0.9731316498	0.1698264227
821	0.9728988751	0.1696746513
822	0.9731316498	0.1696246658
823	0.9732090971	0.169410474
824	0.9732090971	0.1691606069
825	0.9732090971	0.1689909386
826	0.9732865445	0.1687486759
827	0.9732865445	0.1687140469
828	0.9732090971	0.1684644999
829	0.9734688931	0.1680843608
830	0.9734688931	0.1678531923
831	0.9734688931	0.1677262901
832	0.9734688931	0.1675618728
833	0.9739344425	0.1672822203
834	0.9739344425	0.1672200331
835	0.9739344425	0.1671388323
836	0.9742446645	0.1668963613
837	0.9743221118	0.1668093126
838	0.9743221118	0.166777083
839	0.9743221118	0.1667345589
840	0.9747876611	0.1664736481
841	0.9747876611	0.166468882
842	0.9749429885	0.1661380557
843	0.9751757632	0.1660227973
844	0.9749429885	0.1657986064
845	0.9751757632	0.1656253245
846	0.9750204358	0.1653325451
847	0.9752532105	0.1650594691
848	0.9752532105	0.1650338796
849	0.9752532105	0.16501075
850	0.9752532105	0.1647556653
851	0.9750978832	0.1645279072
852	0.9750978832	0.1644690669
853	0.9755904538	0.1642909567
854	0.9755904538	0.1640403534
855	0.9756679011	0.1639380589
856	0.9758232285	0.1637461441
857	0.9759006758	0.163452697
858	0.9759781231	0.1632987119
859	0.9762108978	0.1631805411
860	0.9759781231	0.1630634546
861	0.9759781231	0.1628877597
862	0.9762883452	0.16269303
863	0.9767034685	0.1624942214
864	0.9767034685	0.1622835071
865	0.9766260211	0.1622668282
866	0.9763932465	0.1620543228
867	0.9763657925	0.1618497496
868	0.9762883452	0.1615880407
869	0.9762883452	0.1612757472
870	0.9767034685	0.1610765853
871	0.9765481411	0.160911401
872	0.9767034685	0.1606245403
873	0.9766255885	0.1603856675
874	0.9766255885	0.1601300427
875	0.9768583631	0.1600304991
876	0.9769358105	0.1597372348
877	0.9769358105	0.1595974514
878	0.9769358105	0.1594306319
879	0.9769358105	0.1592647694
880	0.9769358105	0.1590441585
881	0.9767030358	0.1588804015
882	0.9769358105	0.1586750155
883	0.9769358105	0.1586666368
884	0.9771685852	0.1585048183
885	0.9771685852	0.1583940216
